Site code,Rai,Kas,Raj,Cha,Udg,Bor,Kha,Man
Rai,1,0.3833333333,0.3275862069,0.3035714286,0.2830188679,0.2448979592,0.2909090909,0.262295082
Kas,0.3833333333,1,0.5238095238,0.5862068966,0.4745762712,0.4545454545,0.4516129032,0.4328358209
Raj,0.3275862069,0.5238095238,1,0.4576271186,0.5,0.4509803922,0.4482758621,0.4285714286
Cha,0.3035714286,0.5862068966,0.4576271186,1,0.5714285714,0.5217391304,0.568627451,0.5087719298
Udg,0.2830188679,0.4745762712,0.5,0.5714285714,1,0.5853658537,0.5625,0.4727272727
Bor,0.2448979592,0.4545454545,0.4509803922,0.5217391304,0.5853658537,1,0.5813953488,0.4230769231
Kha,0.2909090909,0.4516129032,0.4482758621,0.568627451,0.5625,0.5813953488,1,0.68
Man,0.262295082,0.4328358209,0.4285714286,0.5087719298,0.4727272727,0.4230769231,0.68,1
