Site code,Rai,Kas,Raj,Cha,Udg,Bor,Kha,Man
Rai,1,0.4482977631,0.38261586,0.4289243566,0.3966861572,0.3645303111,0.3556423372,0.2793125536
Kas,0.4482977631,1,0.7025931026,0.601106195,0.5636827346,0.5474493391,0.580925847,0.5595422736
Raj,0.38261586,0.7025931026,1,0.4998410958,0.4802154213,0.5164609544,0.5277131784,0.4700182901
Cha,0.4289243566,0.601106195,0.4998410958,1,0.6944310002,0.628217816,0.6330988988,0.5477615936
Udg,0.3966861572,0.5636827346,0.4802154213,0.6944310002,1,0.6850266215,0.5961878823,0.5590852615
Bor,0.3645303111,0.5474493391,0.5164609544,0.628217816,0.6850266215,1,0.6023149431,0.5068552523
Kha,0.3556423372,0.580925847,0.5277131784,0.6330988988,0.5961878823,0.6023149431,1,0.6765232997
Man,0.2793125536,0.5595422736,0.4700182901,0.5477615936,0.5590852615,0.5068552523,0.6765232997,1
