"Site","Month","AsyDal","BegCre","BucHis","ChlGla","ComBen","ComMac","CriBra","CroNan","CurOrc","CurCau","CyaFas","CyaTub","DesRac","ExaLaw","HabGra","HabHey","HabLon","OldSto","ImpBal","ImpDal","ImpLaw","IndDal","IsoLop","RosDif","LinMys","MurCro","MurSem","MurSim","AdeCoe","AdeMal","PinCon","RotDen","SenBom","SidAcu","SmiBig","SmiBla","SmiHir","ParDel","UtrMal","UtrGra","VigRad","VigVex","AdeInd","ApoSat","AriMur","CanDif","ChrCal","DipMon","DroInd","PorRet","FleGra","HabBra","HabSua","HypAur","ImpTom","IphSte","MurLan","NeaMon","PerDen","PogDec","RhaLon","RotFlo","SmiGra","StrGes","StrSes","VigSub","BurCoe","CerMed","GroTri","IpoPur","MolPen","PerGla","CurPse","HabRar","PerNep","CerSah","MalVer","ImpAca","MurBro","UtrStr","ChlBel","DisRhy","TetGra","DenNan","PorFil","MurVer"
"Cha","Oct",0,0,0,0,1,0,0,0,0,0,17,0,0,266,0,0,0,392,0,0,2,2,2,454,250,0,3,59,1,0,2,0,840,0,26,0,0,0,29,6,0,0,0,0,0,82,0,0,0,0,0,0,0,0,146,0,4,274,0,485,3,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Udg","July",0,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,77,0,0,11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,140,0,0,0,0,0,0,0,0,0
"Udg","Aug",0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,0,40,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0
"Udg","Sept",0,2,0,0,0,0,0,0,0,0,6,0,0,172,0,0,0,90,5,0,0,50,0,486,34,142,25,0,0,0,0,0,189,0,17,0,303,0,270,343,0,0,0,0,0,25,0,0,0,0,0,0,0,0,280,0,0,368,0,750,297,755,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Udg","Oct",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,250,151,0,4,0,0,0,0,0,82,0,7,0,5,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,1,6,0,0,27,0,11,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bor","July",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bor","Aug",0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,204,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,408,0,0,5,50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,82,1,0,0,0,0,0,0,0
"Bor","Sept",0,0,0,0,0,0,0,0,0,0,12,0,0,28,0,1,0,0,0,0,10,34,0,430,180,0,0,0,0,0,0,0,389,0,75,0,439,0,1050,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,513,0,580,58,1169,274,0,18,0,0,0,0,0,0,0,0,0,0,0,0,30,12,0,0,0,0,0,0,0
"Bor","Oct",0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,1,16,0,254,32,0,0,0,0,0,0,0,198,0,137,0,158,8,300,378,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2,0,0,4,0,393,2,326,13,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"Kha","July",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Kha","Aug",0,133,0,0,0,0,0,0,0,0,0,0,0,14,0,32,0,0,0,0,241,0,0,5,0,0,84,1,19,0,0,0,118,0,0,0,0,0,715,460,0,0,0,0,2,0,0,0,0,0,0,0,0,0,464,0,0,460,0,0,23,575,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,335,0,3,0,2,14,0,0,0
"Kha","Sept",0,0,0,0,0,0,0,0,0,0,8,0,0,1131,0,0,0,855,407,0,472,0,0,37,0,14,1250,33,28,0,0,0,1175,0,124,0,231,0,89,1750,0,0,0,0,0,321,0,0,0,0,0,0,0,0,1028,0,2,750,0,355,0,754,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,5,0,0,0
"Kha","Oct",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,5,0,0,0,0,9,151,10,0,0,0,0,266,0,25,0,6,0,0,515,0,0,0,0,0,7,0,0,0,0,0,0,0,0,26,0,0,81,0,63,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Man","July",0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,1,262,0,0,18,2,0,67,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,19,9,16,0,20,0
"Man","Aug",0,328,0,0,0,0,0,0,0,0,7,0,0,1,0,8,0,0,2,0,52,0,0,3,0,0,13,63,0,0,0,0,38,0,0,0,0,0,110,186,0,0,0,0,0,0,0,0,0,34,0,0,0,0,382,0,0,56,12,0,20,267,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,665,0,2,1,14,18,0,0,0
"Man","Sept",0,41,0,0,8,2,0,0,0,0,43,0,0,20,0,0,0,74,78,0,0,0,0,156,0,0,1123,250,11,0,0,0,1179,0,0,0,3,0,60,862,0,0,0,0,0,52,0,0,0,0,3,0,0,0,243,0,3,86,0,410,9,292,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,12,0,0,1
"Man","Oct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,17,11,0,2,8,0,7,0,0,0,534,0,0,0,0,0,13,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,30,0,530,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
