Site,Site_transect,Month,Latitude,Longitude,Elevation,tmax,tmin,tavg,vapr,wind,srad,prec
Man,MAN_T4,Jul,15.670944,74.117,820,23.60000038,19.5,21.60000038,2.539999962,3.900000095,15654,2067
Man,MAN_T5,Jul,15.668806,74.117556,820,23.60000038,19.5,21.60000038,2.539999962,3.900000095,15654,2067
Man,MAN_T6,Jul,15.671,74.116333,773,23.89999962,19.79999924,21.79999924,2.559999943,3.900000095,15631,2013
Man,MAN_T7,Jul,15.669889,74.117361,820,23.60000038,19.5,21.60000038,2.539999962,3.900000095,15654,2067
Rai,RAI_T1,Aug,18.043556,73.722556,1312,20.79999924,16.89999962,18.89999962,2,2.900000095,15495,1087
Rai,RAI_T2,Aug,18.041944,73.726083,1294,21,17,19,2.00999999,2.900000095,15500,1013
Rai,RAI_T3,Aug,18.044111,73.722444,1312,20.79999924,16.89999962,18.89999962,2,2.900000095,15495,1087
Rai,RAI_T4,Aug,18.046361,73.728889,1294,21,17,19,2.00999999,2.900000095,15500,1013
Rai,RAI_T5,Aug,18.046806,73.731056,1294,21,17,19,2.00999999,2.900000095,15500,1013
Rai,RAI_T6,Aug,18.046278,73.731083,1294,21,17,19,2.00999999,2.900000095,15500,1013
Rai,RAI_T7,Aug,18.047889,73.722722,1312,20.79999924,16.89999962,18.89999962,2,2.900000095,15495,1087
Kas,KAS_T1,Aug,17.720528,73.827417,1194,21.5,17.39999962,19.5,2.069999933,2.900000095,15569,656
Kas,KAS_T2,Aug,17.725167,73.827833,1178,21.70000076,17.5,19.60000038,2.079999924,2.900000095,15567,624
Kas,KAS_T3,Aug,17.725167,73.82575,1178,21.70000076,17.5,19.60000038,2.079999924,2.900000095,15567,624
Kas,KAS_T4,Aug,17.720806,73.823361,1214,21.29999924,17.29999924,19.29999924,2.059999943,2.900000095,15533,712
Kas,KAS_T5,Aug,17.726028,73.827611,1178,21.70000076,17.5,19.60000038,2.079999924,2.900000095,15567,624
Kas,KAS_T6,Aug,17.720694,73.825306,1194,21.5,17.39999962,19.5,2.069999933,2.900000095,15569,656
Kas,KAS_T7,Aug,17.716111,73.825083,1150,21.79999924,17.60000038,19.70000076,2.099999905,2.900000095,15530,587
Raj,RAJ_T1,Aug,17.565694,73.9235,1092,22.70000076,18,20.29999924,2.119999886,2.900000095,15658,439
Raj,RAJ_T2,Aug,17.567333,73.920278,1078,22.70000076,18.10000038,20.39999962,2.130000114,2.900000095,15656,419
Raj,RAJ_T3,Aug,17.57925,73.911944,1132,22.29999924,17.79999924,20,2.099999905,2.900000095,15656,488
Raj,RAJ_T4,Aug,17.581361,73.904833,1139,22.20000076,17.70000076,20,2.099999905,2.900000095,15618,510
Raj,RAJ_T5,Aug,17.579194,73.910306,1132,22.29999924,17.79999924,20,2.099999905,2.900000095,15656,488
Raj,RAJ_T6,Aug,17.574083,73.91525,1088,22.60000038,18,20.29999924,2.130000114,2.900000095,15618,442
Raj,RAJ_T7,Aug,17.565028,73.922972,1092,22.70000076,18,20.29999924,2.119999886,2.900000095,15658,439
Cha,CHA_T1,Aug,17.625167,73.815139,1184,21.29999924,17.5,19.39999962,2.089999914,2.900000095,15508,728
Cha,CHA_T2,Aug,17.575556,73.823806,1148,21.70000076,17.60000038,19.60000038,2.109999895,2.799999952,15473,677
Cha,CHA_T3,Aug,17.623028,73.811389,1154,21.5,17.60000038,19.5,2.109999895,2.900000095,15502,683
Cha,CHA_T4,Aug,17.601694,73.814972,1152,21.5,17.60000038,19.60000038,2.109999895,2.900000095,15499,689
Cha,CHA_T5,Aug,17.620917,73.811778,1154,21.5,17.60000038,19.5,2.109999895,2.900000095,15502,683
Cha,CHA_T6,Aug,17.534611,73.845389,1126,22,17.70000076,19.89999962,2.130000114,3,15552,625
Cha,CHA_T7,Aug,17.495222,73.827694,1088,21.89999962,17.70000076,19.79999924,2.160000086,2.900000095,15493,636
Udg,UDG_T1,Aug,17.078194,73.854306,1001,22.70000076,18.39999962,20.60000038,2.25999999,3,15527,739
Udg,UDG_T2,Aug,17.07825,73.853833,1001,22.70000076,18.39999962,20.60000038,2.25999999,3,15527,739
Udg,UDG_T3,Aug,17.0825,73.850778,1001,22.70000076,18.39999962,20.60000038,2.25999999,3,15527,739
Udg,UDG_T4,Aug,17.084583,73.850722,982,22.89999962,18.5,20.70000076,2.269999981,3,15522,715
Udg,UDG_T5,Aug,17.087472,73.84925,1005,22.70000076,18.39999962,20.5,2.25999999,3,15517,757
Udg,UDG_T6,Aug,17.087361,73.848611,1005,22.70000076,18.39999962,20.5,2.25999999,3,15517,757
Udg,UDG_T7,Aug,17.085806,73.848333,1005,22.70000076,18.39999962,20.5,2.25999999,3,15517,757
Bor,BOR_T1,Aug,16.517556,73.893028,831,23.29999924,19,21.20000076,2.400000095,3.099999905,15638,970
Bor,BOR_T2,Aug,16.516472,73.892167,883,23,18.79999924,20.89999962,2.369999886,3.099999905,15653,1012
Bor,BOR_T3,Aug,16.516083,73.891833,883,23,18.79999924,20.89999962,2.369999886,3.099999905,15653,1012
Bor,BOR_T4,Aug,16.515722,73.891694,883,23,18.79999924,20.89999962,2.369999886,3.099999905,15653,1012
Bor,BOR_T5,Aug,16.515111,73.890917,907,22.89999962,18.70000076,20.79999924,2.359999895,3.099999905,15647,1048
Bor,BOR_T6,Aug,16.514083,73.889361,907,22.89999962,18.70000076,20.79999924,2.359999895,3.099999905,15647,1048
Bor,BOR_T7,Aug,16.511889,73.888556,907,22.89999962,18.70000076,20.79999924,2.359999895,3.099999905,15647,1048
Kha,KHA_T1,Aug,15.878417,74.02975,840,23.70000076,19,21.29999924,2.450000048,3.200000048,16033,1281
Kha,KHA_T2,Aug,15.877833,74.030556,840,23.70000076,19,21.29999924,2.450000048,3.200000048,16033,1281
Kha,KHA_T3,Aug,15.876667,74.0305,840,23.70000076,19,21.29999924,2.450000048,3.200000048,16033,1281
Kha,KHA_T4,Aug,15.876028,74.033083,840,23.70000076,19,21.29999924,2.450000048,3.200000048,16033,1281
Kha,KHA_T5,Aug,15.876222,74.033639,836,23.79999924,19,21.39999962,2.450000048,3.299999952,16077,1260
Kha,KHA_T6,Aug,15.876722,74.032306,840,23.70000076,19,21.29999924,2.450000048,3.200000048,16033,1281
Kha,KHA_T7,Aug,15.877639,74.029694,840,23.70000076,19,21.29999924,2.450000048,3.200000048,16033,1281
Man,MAN_T1,Aug,15.672806,74.116583,773,23.89999962,19.60000038,21.70000076,2.50999999,3.400000095,16237,1202
Man,MAN_T2,Aug,15.672667,74.116833,820,23.70000076,19.29999924,21.5,2.49000001,3.400000095,16247,1238
Man,MAN_T3,Aug,15.668444,74.11625,773,23.89999962,19.60000038,21.70000076,2.50999999,3.400000095,16237,1202
Man,MAN_T4,Aug,15.670944,74.117,820,23.70000076,19.29999924,21.5,2.49000001,3.400000095,16247,1238
Man,MAN_T5,Aug,15.668806,74.117556,820,23.70000076,19.29999924,21.5,2.49000001,3.400000095,16247,1238
Man,MAN_T6,Aug,15.671,74.116333,773,23.89999962,19.60000038,21.70000076,2.50999999,3.400000095,16237,1202
Man,MAN_T7,Aug,15.669889,74.117361,820,23.70000076,19.29999924,21.5,2.49000001,3.400000095,16247,1238
Rai,RAI_T1,Sept,18.043556,73.722556,1312,22.10000038,16.5,19.29999924,1.99000001,1.799999952,16859,454
Rai,RAI_T2,Sept,18.041944,73.726083,1294,22.20000076,16.60000038,19.39999962,1.99000001,1.899999976,16974,432
Rai,RAI_T3,Sept,18.044111,73.722444,1312,22.10000038,16.5,19.29999924,1.99000001,1.799999952,16859,454
Rai,RAI_T4,Sept,18.046361,73.728889,1294,22.20000076,16.60000038,19.39999962,1.99000001,1.899999976,16974,432
Rai,RAI_T5,Sept,18.046806,73.731056,1294,22.20000076,16.60000038,19.39999962,1.99000001,1.899999976,16974,432
Rai,RAI_T6,Sept,18.046278,73.731083,1294,22.20000076,16.60000038,19.39999962,1.99000001,1.899999976,16974,432
Rai,RAI_T7,Sept,18.047889,73.722722,1312,22.10000038,16.5,19.29999924,1.99000001,1.799999952,16859,454
Kas,KAS_T1,Sept,17.720528,73.827417,1194,22.89999962,16.89999962,19.89999962,2.039999962,1.899999976,17061,303
Kas,KAS_T2,Sept,17.725167,73.827833,1178,23,17,20,2.049999952,1.799999952,17133,293
Kas,KAS_T3,Sept,17.725167,73.82575,1178,23,17,20,2.049999952,1.799999952,17133,293
Kas,KAS_T4,Sept,17.720806,73.823361,1214,22.70000076,16.79999924,19.70000076,2.029999971,1.899999976,17040,320
Kas,KAS_T5,Sept,17.726028,73.827611,1178,23,17,20,2.049999952,1.799999952,17133,293
Kas,KAS_T6,Sept,17.720694,73.825306,1194,22.89999962,16.89999962,19.89999962,2.039999962,1.899999976,17061,303
Kas,KAS_T7,Sept,17.716111,73.825083,1150,23.10000038,17.10000038,20.10000038,2.059999943,1.899999976,17089,279
Raj,RAJ_T1,Sept,17.565694,73.9235,1092,24,17.60000038,20.79999924,2.079999924,1.799999952,17327,218
Raj,RAJ_T2,Sept,17.567333,73.920278,1078,24.10000038,17.60000038,20.79999924,2.089999914,1.799999952,17333,212
Raj,RAJ_T3,Sept,17.57925,73.911944,1132,23.70000076,17.29999924,20.5,2.059999943,1.899999976,17231,236
Raj,RAJ_T4,Sept,17.581361,73.904833,1139,23.60000038,17.20000076,20.39999962,2.059999943,1.799999952,17250,242
Raj,RAJ_T5,Sept,17.579194,73.910306,1132,23.70000076,17.29999924,20.5,2.059999943,1.899999976,17231,236
Raj,RAJ_T6,Sept,17.574083,73.91525,1088,24,17.5,20.79999924,2.089999914,1.799999952,17319,219
Raj,RAJ_T7,Sept,17.565028,73.922972,1092,24,17.60000038,20.79999924,2.079999924,1.799999952,17327,218
Cha,CHA_T1,Sept,17.625167,73.815139,1184,22.70000076,17,19.89999962,2.059999943,1.899999976,16938,313
Cha,CHA_T2,Sept,17.575556,73.823806,1148,23.10000038,17.10000038,20.10000038,2.079999924,1.899999976,17100,291
Cha,CHA_T3,Sept,17.623028,73.811389,1154,22.89999962,17.10000038,20,2.069999933,1.899999976,16987,298
Cha,CHA_T4,Sept,17.601694,73.814972,1152,23,17.10000038,20.10000038,2.069999933,1.899999976,17023,297
Cha,CHA_T5,Sept,17.620917,73.811778,1154,22.89999962,17.10000038,20,2.069999933,1.899999976,16987,298
Cha,CHA_T6,Sept,17.534611,73.845389,1126,23.39999962,17.29999924,20.29999924,2.089999914,1.799999952,17239,271
Cha,CHA_T7,Sept,17.495222,73.827694,1088,23.39999962,17.29999924,20.29999924,2.109999895,1.899999976,17154,267
Udg,UDG_T1,Sept,17.078194,73.854306,1001,24.10000038,18,21,2.190000057,1.899999976,17299,245
Udg,UDG_T2,Sept,17.07825,73.853833,1001,24.10000038,18,21,2.190000057,1.899999976,17299,245
Udg,UDG_T3,Sept,17.0825,73.850778,1001,24.10000038,18,21,2.190000057,1.899999976,17299,245
Udg,UDG_T4,Sept,17.084583,73.850722,982,24.29999924,18.10000038,21.20000076,2.200000048,1.899999976,17365,240
Udg,UDG_T5,Sept,17.087472,73.84925,1005,24.10000038,17.89999962,21,2.190000057,1.899999976,17316,250
Udg,UDG_T6,Sept,17.087361,73.848611,1005,24.10000038,17.89999962,21,2.190000057,1.899999976,17316,250
Udg,UDG_T7,Sept,17.085806,73.848333,1005,24.10000038,17.89999962,21,2.190000057,1.899999976,17316,250
Bor,BOR_T1,Sept,16.517556,73.893028,831,25,18.70000076,21.79999924,2.319999933,1.899999976,17617,251
Bor,BOR_T2,Sept,16.516472,73.892167,883,24.70000076,18.5,21.60000038,2.289999962,1.899999976,17611,254
Bor,BOR_T3,Sept,16.516083,73.891833,883,24.70000076,18.5,21.60000038,2.289999962,1.899999976,17611,254
Bor,BOR_T4,Sept,16.515722,73.891694,883,24.70000076,18.5,21.60000038,2.289999962,1.899999976,17611,254
Bor,BOR_T5,Sept,16.515111,73.890917,907,24.60000038,18.39999962,21.5,2.279999971,2,17563,260
Bor,BOR_T6,Sept,16.514083,73.889361,907,24.60000038,18.39999962,21.5,2.279999971,2,17563,260
Bor,BOR_T7,Sept,16.511889,73.888556,907,24.60000038,18.39999962,21.5,2.279999971,2,17563,260
Kha,KHA_T1,Sept,15.878417,74.02975,840,25.10000038,18.60000038,21.79999924,2.390000105,2.099999905,17770,280
Kha,KHA_T2,Sept,15.877833,74.030556,840,25.10000038,18.60000038,21.79999924,2.390000105,2.099999905,17770,280
Kha,KHA_T3,Sept,15.876667,74.0305,840,25.10000038,18.60000038,21.79999924,2.390000105,2.099999905,17770,280
Kha,KHA_T4,Sept,15.876028,74.033083,840,25.10000038,18.60000038,21.79999924,2.390000105,2.099999905,17770,280
Kha,KHA_T5,Sept,15.876222,74.033639,836,25.10000038,18.5,21.79999924,2.380000114,2.099999905,17814,276
Kha,KHA_T6,Sept,15.876722,74.032306,840,25.10000038,18.60000038,21.79999924,2.390000105,2.099999905,17770,280
Kha,KHA_T7,Sept,15.877639,74.029694,840,25.10000038,18.60000038,21.79999924,2.390000105,2.099999905,17770,280
Man,MAN_T1,Sept,15.672806,74.116583,773,25.29999924,19.20000076,22.20000076,2.450000048,2.099999905,17908,274
Man,MAN_T2,Sept,15.672667,74.116833,820,25.10000038,18.89999962,22,2.420000076,2.099999905,17906,277
Man,MAN_T3,Sept,15.668444,74.11625,773,25.29999924,19.20000076,22.20000076,2.450000048,2.099999905,17908,274
Man,MAN_T4,Sept,15.670944,74.117,820,25.10000038,18.89999962,22,2.420000076,2.099999905,17906,277
Man,MAN_T5,Sept,15.668806,74.117556,820,25.10000038,18.89999962,22,2.420000076,2.099999905,17906,277
Man,MAN_T6,Sept,15.671,74.116333,773,25.29999924,19.20000076,22.20000076,2.450000048,2.099999905,17908,274
Man,MAN_T7,Sept,15.669889,74.117361,820,25.10000038,18.89999962,22,2.420000076,2.099999905,17906,277
Rai,RAI_T1,Oct,18.043556,73.722556,1312,25.20000076,16.29999924,20.79999924,1.720000029,1.299999952,19261,136
Rai,RAI_T2,Oct,18.041944,73.726083,1294,25.39999962,16.29999924,20.89999962,1.720000029,1.200000048,19226,134
Rai,RAI_T3,Oct,18.044111,73.722444,1312,25.20000076,16.29999924,20.79999924,1.720000029,1.299999952,19261,136
Rai,RAI_T4,Oct,18.046361,73.728889,1294,25.39999962,16.29999924,20.89999962,1.720000029,1.200000048,19226,134
Rai,RAI_T5,Oct,18.046806,73.731056,1294,25.39999962,16.29999924,20.89999962,1.720000029,1.200000048,19226,134
Rai,RAI_T6,Oct,18.046278,73.731083,1294,25.39999962,16.29999924,20.89999962,1.720000029,1.200000048,19226,134
Rai,RAI_T7,Oct,18.047889,73.722722,1312,25.20000076,16.29999924,20.79999924,1.720000029,1.299999952,19261,136
Kas,KAS_T1,Oct,17.720528,73.827417,1194,25.70000076,16.70000076,21.20000076,1.779999971,1.299999952,19079,130
Kas,KAS_T2,Oct,17.725167,73.827833,1178,25.89999962,16.79999924,21.29999924,1.779999971,1.299999952,19047,130
Kas,KAS_T3,Oct,17.725167,73.82575,1178,25.89999962,16.79999924,21.29999924,1.779999971,1.299999952,19047,130
Kas,KAS_T4,Oct,17.720806,73.823361,1214,25.60000038,16.60000038,21.10000038,1.769999981,1.299999952,19086,132
Kas,KAS_T5,Oct,17.726028,73.827611,1178,25.89999962,16.79999924,21.29999924,1.779999971,1.299999952,19047,130
Kas,KAS_T6,Oct,17.720694,73.825306,1194,25.70000076,16.70000076,21.20000076,1.779999971,1.299999952,19079,130
Kas,KAS_T7,Oct,17.716111,73.825083,1150,25.89999962,16.89999962,21.39999962,1.799999952,1.299999952,19053,129
Raj,RAJ_T1,Oct,17.565694,73.9235,1092,26.79999924,17.20000076,22,1.820000052,1.200000048,18855,119
Raj,RAJ_T2,Oct,17.567333,73.920278,1078,26.79999924,17.29999924,22,1.830000043,1.200000048,18824,119
Raj,RAJ_T3,Oct,17.57925,73.911944,1132,26.39999962,17,21.70000076,1.799999952,1.200000048,18853,121
Raj,RAJ_T4,Oct,17.581361,73.904833,1139,26.29999924,17,21.60000038,1.799999952,1.200000048,18855,122
